epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,1398.06,0.26771,0.36504,0.17723,0.83638,0,1,0.97444,0.975,0.9664,1,0.97444,0.975,0.96607,0.16877,0.24284,0.11338,0.79656,0,0.0004952,0.0004952,0.0004952
40,1432.53,0.27174,0.36261,0.17968,0.84275,0,0.99548,0.97458,0.97496,0.96808,0.99548,0.97458,0.97496,0.9665,0.16205,0.23431,0.11547,0.79067,0,0.0004556,0.0004556,0.0004556
41,44.6853,0.22805,0.33133,0.14597,0.81805,0,0.99963,0.97458,0.975,0.96928,0.99963,0.97458,0.975,0.96512,0.16615,0.2523,0.12007,0.78986,0,0.000416,0.000416,0.000416
42,90.274,0.21753,0.31415,0.1405,0.80844,0,0.99877,0.97458,0.975,0.96962,0.99877,0.97458,0.975,0.96675,0.16508,0.22997,0.10796,0.79415,0,0.0003764,0.0003764,0.0003764
43,135.636,0.21062,0.3057,0.13351,0.80813,0,0.99952,0.97458,0.975,0.96878,0.99952,0.97458,0.975,0.96416,0.16394,0.22798,0.10667,0.79223,0,0.0003368,0.0003368,0.0003368
44,181.424,0.20975,0.30105,0.1352,0.80865,0,0.99978,0.97458,0.975,0.96979,0.99978,0.97458,0.975,0.96724,0.14578,0.22399,0.10164,0.78645,0,0.0002972,0.0002972,0.0002972
45,226.101,0.20655,0.30032,0.13083,0.80561,0,0.99978,0.97458,0.975,0.96964,0.99978,0.97458,0.975,0.96691,0.15215,0.22505,0.10024,0.78968,0,0.0002576,0.0002576,0.0002576
46,271.896,0.20485,0.2902,0.12991,0.8028,0,0.99973,0.97458,0.975,0.96839,0.99973,0.97458,0.975,0.96822,0.15984,0.23268,0.10121,0.79166,0,0.000218,0.000218,0.000218
47,317.551,0.20528,0.29685,0.12959,0.80599,0,0.99976,0.97458,0.975,0.97053,0.99976,0.97458,0.975,0.96814,0.14329,0.23259,0.09384,0.78661,0,0.0001784,0.0001784,0.0001784
48,362.683,0.19129,0.29123,0.12123,0.79977,0,0.99976,0.97458,0.975,0.96955,0.99976,0.97458,0.975,0.96937,0.15128,0.21923,0.095,0.78905,0,0.0001388,0.0001388,0.0001388
49,407.512,0.19025,0.28599,0.11849,0.79875,0,0.99976,0.97458,0.975,0.96976,0.99976,0.97458,0.975,0.96955,0.14356,0.21729,0.08851,0.78813,0,9.92e-05,9.92e-05,9.92e-05
50,452.518,0.18956,0.28147,0.11771,0.80358,0,0.99977,0.97458,0.975,0.97073,0.99977,0.97458,0.975,0.96861,0.14113,0.21903,0.08541,0.78732,0,5.96e-05,5.96e-05,5.96e-05
